(L)Date&Time,,OC(ng/m3),Py C(ng/m3),EC(ng/m3),Li / 7,Mg / 25,S / 34,K / 39,V / 51,As / 75,Se / 77,Br / 79,Rb / 85,Mo / 95,Sn / 118,Sb / 121,Pb / 208
2016-04-18,1,182.1195582,58.95329986,67.24544882,0.002976351,0.354284286,27.94668707,2.704398473,0.057172732,0.051463417,0.030273807,0.400831372,0.002925218,0.015415462,0.017291362,0.114119781,0.191215659
2016-04-21,4,41.09332389,13.51511929,12.43390994,0.004551866,0.260484437,14.93782709,1.926760438,0.007373305,0.009470401,0.006083481,0.078107931,0.002242211,0.013065022,0.0046969335,0.104298638,0.0270326145
2016-04-24,7,42.60783175,14.63855401,24.90003291,0.001161906,0.188712099,13.2818384,0.995900108,0.01283233,0.014654209,0.010508609,0.107864899,0.0019257,0.014682826,0.0046969335,0.035779522,0.0270326145
2016-04-27,3,57.19450885,18.26332284,32.26190823,0.002340494,0.184658238,5.037994821,2.604375672,0.017166052,0.022428833,0.012266126,0.188847441,0.003800104,0.029547072,0.024763961,0.07666607,0.394404491
2016-04-30,6,129.930125,44.76342151,19.70688556,0.000701922,0.0496926705,1.264717694,1.559287256,0.011074931,0.026117917,0.0016815,0.065004023,0.002746729,0.009985383,0.0046969335,0.037810556,0.075031301
2016-05-03,2,45.912994,16.22377069,26.18783154,0.001994647,0.319077871,2.846834648,0.786123197,0.012962278,0.016201585,0.038166513,0.140868738,0.001219298,0.020632842,0.230686438,0.075584966,0.078077321
2016-05-06,5,73.96400259,26.64532506,17.37806717,0.000332286,0.212701752,3.6961071,1.725768804,0.012633121,0.013297411,0.047363004,0.172663762,0.002021619,0.011556834,0.342403871,0.063681615,0.082807408
2016-05-09,1,48.01795507,17.9443896,27.01082438,0.003520586,0.304518364,1.264717694,2.776873185,0.004611267,0.1769688,0.008288019,0.209096306,0.002981523,0.012699377,0.038883941,0.081044416,0.109565304
2016-05-12,4,12.195,7.042106316,18.67298591,0.000332286,0.143217155,1.264717694,0.2926725665,0.004596911,0.00535179,0.0016815,0.04883448,0.000445501,0.00675956,0.0046969335,0.013526515,0.0270326145
2016-05-15,7,100.6676871,33.10390851,42.19335851,0.000685111,0.188825331,1.264717694,2.806530322,0.008455664,0.033536563,0.029878921,0.301987253,0.003811945,0.018530341,0.019002459,0.113060246,0.164672701
2016-05-18,3,66.57368507,14.23545557,10.51115424,0.001185281,0.0496926705,1.264717694,1.068992607,0.008236881,0.014667484,0.012174411,0.111661445,0.001327733,0.00919519,0.0046969335,0.080182078,0.063512657
2016-05-21,6,12.195,7.28753068,15.31992099,0.001501296,0.516090139,7.095687236,1.767753099,0.021794719,0.024019547,0.03132925,0.191291008,0.002284588,0.036517781,0.323507909,0.167995767,0.161145679
2016-05-24,2,27.38440016,9.668574988,15.95818142,0.000332286,0.139203311,1.264717694,0.2926725665,0.004452262,0.002439281,0.0016815,0.044274197,0.000577335,0.030093933,0.011493872,0.025369084,0.0270326145
2016-05-27,5,153.5009176,31.543379,35.62247884,0.000332286,0.138006204,1.264717694,0.676228884,0.023949653,0.009820764,0.007550299,0.097170534,0.001184104,0.004366752,0.013855436,0.023384457,0.109018595
2016-05-30,,99.16736081,33.95199638,35.73790623,0,0.098749065,0,1.861974059,0.007002341,0.006867499,0.00240862,0.07377365,0.002018307,0.002802605,0.008606536,0.022680678,0.054581855
2016-06-02,4,194.764961,78.70568469,49.13990165,0.001909028,0.0496926705,1.264717694,1.056513485,0.01042876,0.008502759,0.0016815,0.09503612,0.001316953,0.01167462,0.011782535,0.027508224,0.0620763
2016-06-05,7,12.195,2.4885,7.909503458,0.000332286,0.0496926705,1.264717694,0.2926725665,0.024060075,0.030580507,0.020879582,0.00250104,0.000793486,0.0012818915,0.0046969335,0.005613693,0.0270326145
2016-06-08,3,26.91984182,7.736827083,20.76627155,0.000777365,0.127807039,59.5144035,0.2926725665,0.004716841,0.004191928,0.0016815,0.042452352,0.000695359,0.018541566,0.0046969335,0.028739951,0.209662258
2016-06-11,6,80.29654434,18.89107914,29.04670079,0.000792155,0.100969875,39.20228427,2.235575137,0.004018095,0.011916513,0.00885335,0.173841458,0.002678921,0.016739697,0.0046969335,0.020204995,0.055432065
2016-06-14,2,29.59455614,9.945345641,22.03404874,0.000332286,0.0496926705,44.51029899,0.2926725665,0.006438164,0.009417273,0.005206199,0.076236494,0.000852946,0.020480566,0.0046969335,0.027321957,0.075290701
2016-06-17,5,161.7409491,43.95947379,42.7227823,0.001393929,0.0496926705,53.38482434,1.930893222,0.011063051,0.019717804,0.015832371,0.217378728,0.002861028,0.018476094,0.0046969335,0.11374342,0.094110802
2016-06-20,1,114.3949268,47.34751614,31.82604981,0.002427092,0.358089328,48.07586042,1.05831697,0.026719676,0.015788955,0.023587816,0.227019349,0.001870018,0.024233557,0.038023407,0.072746551,0.213127128
2016-06-23,4,170.5376256,43.50097043,47.66501429,0.0012396,0.0496926705,39.02471944,2.303469217,0.005882777,0.012803628,0.012567741,0.19812016,0.003029142,0.023943527,0.01631204,0.065784527,0.121962827
2016-06-26,7,123.9341917,40.27001572,38.3660051,0.00149221,0.199575166,48.15468979,1.161133439,0.011014959,0.014364874,0.020843996,0.170472295,0.001515261,0.036076568,0.025956816,0.034234046,0.21692653
2016-06-29,3,64.53114685,24.33098448,28.29202205,0.00112683,0.275045245,58.08605019,1.517460742,0.011152219,0.008835524,0.018122182,0.142011709,0.001713975,0.027957017,0.0046969335,0.04039407,0.075809958
2016-07-02,6,99.62011885,30.81949058,11.60373955,0.000332286,0.192728195,29.84311911,6.612026381,0.008654718,0.012952457,0.008539843,0.076426854,0.003449381,0.017938119,0.0046969335,0.014404135,0.057533435
2016-07-05,,19.18891475,7.971091217,11.39630105,0.001337406,0,35.04768252,1.241482932,0,0,0,0.026847322,0.001715513,0.033718881,0,0.038852826,0
2016-07-08,5,48.54725599,16.14456839,13.31475187,0.000332286,0.0496926705,1.264717694,0.930437878,0.003278868,0.005521954,0.0016815,0.045219418,0.001310937,0.0012818915,0.0046969335,0.144657958,0.0270326145
2016-07-11,1,92.04657325,30.18681703,55.41270157,0.001625098,0.122601646,1.264717694,2.194967572,0.013292024,0.015339407,0.018467165,0.131786506,0.002170438,0.014970229,0.017021285,0.051259394,0.167905266
2016-07-14,4,101.0681908,38.36285944,39.98495639,0.000332286,0.0496926705,2.653264996,0.81886996,0.008616273,0.00873717,0.005206613,0.065856324,0.001224219,0.005415182,0.012570737,0.013927695,0.265538787
2016-07-17,7,12.195,6.109621923,17.79360491,0.000332286,0.0496926705,1.264717694,1.22042576,0.002971464,0.004399747,0.004336248,0.04253341,0.00122847,0.005868866,0.0046969335,0.062726959,0.0270326145
2016-07-20,3,84.88359869,31.07480362,40.79775635,0.001847937,0.0496926705,4.904961177,1.137605925,0.01130996,0.01588786,0.018152,0.112981664,0.001731324,0.009096943,0.017352485,0.115153963,0.081138157
2016-07-23,6,79.5502859,18.71979333,34.19434793,0.001456934,0.326818296,7.480044359,1.701367558,0.010268865,0.110216103,0.025756404,0.148127687,0.001887003,0.007716957,0.011286612,0.114192844,0.181786369
2016-07-26,2,149.4108822,51.9346373,80.11100511,0.002753184,0.0496926705,5.506133592,1.094982781,0.023015212,0.03878807,0.019154419,0.178147578,0.001620482,0.020969469,0.016148551,0.144733822,0.209738061
